[-0.34796753  1.28843049 -0.19118626 -1.01138847  0.13101413 -0.89484858] -288.52952248070915
[ 3.64551805  0.10766062  0.57823416  2.63956028  1.29806727 -0.27767471] -265.2356613197784
[ 3.63817383  0.12701884  0.5841183   2.6446534   1.29223925 -0.27373937] -265.23787649565776
[ 3.66803732  0.13980594  0.56406266  2.61363105  1.28972979 -0.26039641] -265.23629665702475
[ 3.65279419  0.13063264  0.57897814  2.60268024  1.29365862 -0.28747308] -265.23467263586156
[ 3.65010361  0.15459036  0.58603896  2.57894711  1.28834662 -0.29761265] -265.23672183521325
[ 3.64060026  0.14204589  0.5747971   2.59843273  1.26528288 -0.27585645] -265.2361965680491
[ 3.63218341  0.18121685  0.57104819  2.59393464  1.27372163 -0.2721142 ] -265.238334349002
[ 3.65750411  0.09835572  0.57412677  2.62404436  1.29506014 -0.27990576] -265.23519508262785
[ 3.62657937  0.09832951  0.5854932   2.61785563  1.2879416  -0.30072386] -265.2353267484818
[ 3.62639769  0.10677109  0.59198635  2.5998174   1.26392665 -0.33481002] -265.23645072006116
[ 3.64995624  0.11902201  0.57140941  2.62111624  1.29645213 -0.26738774] -265.2348780059613
[ 3.64672517  0.08015622  0.58061045  2.6371617   1.31632748 -0.30104432] -265.2358156894201
[ 3.66340136  0.09877974  0.57830307  2.64594626  1.32218443 -0.25386601] -265.23618129138606
[ 3.6380686   0.10914931  0.5780615   2.61263148  1.28578459 -0.30161936] -265.2347072827514
[ 3.64341502  0.14089372  0.57482394  2.60213437  1.2693273  -0.27055052] -265.23590673636664
[ 3.64589763  0.09534059  0.57916382  2.62840487  1.30457743 -0.29342087] -265.2344735072416
[ 3.64474867  0.10928263  0.57751012  2.59601733  1.28975757 -0.29916884] -265.23616170765865
[ 3.6453257   0.10806613  0.57805315  2.62867454  1.29598984 -0.28304825] -265.2343164334449
[ 3.66993612  0.12185928  0.56777107  2.62132828  1.30256599 -0.27022783] -265.23594933142743
[ 3.63741856  0.10421195  0.58106266  2.61872379  1.2915977  -0.29309985] -265.2344597365977
[ 3.6323162   0.12378516  0.58144946  2.61336603  1.2942933  -0.29544395] -265.23495455627824
[ 3.63861318  0.1174278   0.57961878  2.61603561  1.29448501 -0.29155941] -265.2344656757925
[ 3.63608305  0.10258746  0.58690327  2.6146006   1.2922456  -0.3160192 ] -265.2344182577671
[ 3.64730883  0.11027288  0.58319845  2.62374174  1.30506681 -0.28658752] -265.2339432956646
[ 3.65192895  0.11083467  0.58576692  2.62929687  1.31470792 -0.2790716 ] -265.2339862206591
[ 3.63075479  0.08200297  0.58368857  2.64071347  1.30099551 -0.30043862] -265.23633898418194
[ 3.64728434  0.11847522  0.58015575  2.61218855  1.29549284 -0.29071446] -265.2341814474783
[ 3.63811359  0.12500656  0.58383353  2.60958341  1.2870485  -0.29358869] -265.2342091829345
[ 3.64523151  0.1054456   0.58478349  2.61980193  1.29466209 -0.29612659] -265.23374935137554
[ 3.64854068  0.09945451  0.58736584  2.62168509  1.29475063 -0.29841018] -265.2335515013652
[ 3.65013351  0.11707563  0.58544066  2.61810085  1.29860038 -0.29635625] -265.23346313646556
[ 3.65649099  0.12350747  0.58762966  2.61778938  1.30210172 -0.29798445] -265.23315934961664
[ 3.65827166  0.12567346  0.57984218  2.62328697  1.30123785 -0.26742532] -265.23387369785286
[ 3.65334433  0.1260639   0.58928865  2.60741717  1.29924294 -0.29518863] -265.2336648643181
[ 3.66563336  0.10947592  0.58532664  2.62578622  1.3122491  -0.28518149] -265.2341171902379
[ 3.66257894  0.11300749  0.59072806  2.62771364  1.30939017 -0.2862114 ] -265.23283399910156
[ 3.67022624  0.11027363  0.59601422  2.63547618  1.31633884 -0.28395987] -265.2330979926887
[ 3.64321179  0.12318398  0.58735764  2.61475844  1.29168094 -0.29208767] -265.23358054200474
[ 3.66017063  0.12669072  0.59087223  2.61380849  1.29440128 -0.29251503] -265.23292171369184
[ 3.64984079  0.11162923  0.59790518  2.61110377  1.29595138 -0.32004046] -265.23315997992574
[ 3.65360028  0.10642723  0.59133088  2.62820243  1.2968491  -0.3005611 ] -265.23316208998494
[ 3.66719565  0.10372157  0.59458631  2.6253425   1.30613382 -0.30648653] -265.2333711214291
[ 3.66808508  0.1288734   0.59698494  2.61963498  1.30685853 -0.30285615] -265.2324703789495
[ 3.67785727  0.14358285  0.60179449  2.61860993  1.31291248 -0.30507914] -265.2327153373122
[ 3.64972659  0.13299028  0.59056401  2.61407507  1.29571691 -0.29356966] -265.2331329485965
[ 3.66203073  0.13913897  0.59356381  2.60650601  1.30462423 -0.29716462] -265.23348361700806
[ 3.65570789  0.11460517  0.59188911  2.62277833  1.29879288 -0.29971198] -265.2328221878819
[ 3.66774591  0.13492894  0.58498416  2.62749619  1.30646912 -0.27090909] -265.23364656903703
[ 3.65431707  0.11745416  0.59467492  2.61520188  1.29858082 -0.30775762] -265.2328266275609
[ 3.66037108  0.12103294  0.5976081   2.61994808  1.29914514 -0.29622283] -265.23229069793894
[ 3.66231113  0.11979567  0.60259732  2.62102743  1.29766685 -0.29534202] -265.23196949933975
[ 3.67133033  0.10715193  0.59868486  2.62597984  1.30617993 -0.3012284 ] -265.2329274000107
[ 3.66592939  0.11361151  0.59665464  2.62300365  1.30356418 -0.29931372] -265.23241768288426
[ 3.66280587  0.10909175  0.6003041   2.62931148  1.31054987 -0.30454927] -265.23224563822606
[ 3.6604732   0.12146973  0.60364028  2.61593894  1.29594753 -0.31696552] -265.23238915934974
[ 3.67078711  0.11836158  0.60268188  2.62869639  1.30587913 -0.2984886 ] -265.2326316895209
[ 3.6744227   0.12246272  0.60906527  2.62309263  1.30802915 -0.30612644] -265.23170295493645
[ 3.68378011  0.12639149  0.61765335  2.62324978  1.31264728 -0.30933367] -265.23219906989414
[ 3.66055534  0.12007335  0.60040031  2.61530664  1.30165957 -0.30989578] -265.2324032753884
[ 3.66074747  0.10662818  0.6072357   2.62292527  1.29894718 -0.30787476] -265.2319224585251
[ 3.66117584  0.11956228  0.61109302  2.61953048  1.30070254 -0.31427088] -265.23171647240866
[ 3.66675673  0.1129301   0.61091159  2.62863543  1.30228814 -0.30514719] -265.23168739286245
[ 3.66985742  0.10935847  0.61616723  2.63529983  1.30260242 -0.30277289] -265.2319904631535
[ 3.66893338  0.10868717  0.61009538  2.6322353   1.31011371 -0.294138  ] -265.2320846562366
[ 3.66864321  0.12093029  0.61669533  2.61983737  1.29536599 -0.30308383] -265.2314384239219
[ 3.67156188  0.12684956  0.62489094  2.61510032  1.28777405 -0.30235111] -265.23170493801246
[ 3.66241898  0.12541591  0.60910403  2.6127809   1.29088624 -0.31647704] -265.2322783556306
[ 3.66730478  0.11286936  0.60984754  2.6273717   1.30530684 -0.29972276] -265.2314908026166
[ 3.67070578  0.11199863  0.61901883  2.62610354  1.30587976 -0.31673327] -265.23137567212666
[ 3.67490311  0.10810011  0.62722959  2.62864159  1.30998622 -0.3274289 ] -265.23206981724184
[ 3.67558888  0.12695628  0.61830816  2.62526511  1.30691028 -0.30715336] -265.23131173718207
